Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000293842,-0.023414222,-0.087188217,-0.130712326,0.009662519,-0.091196944
ENST00000328916,0.323887023,0.215186828,0.014061806,0.063089575,0.10042764
ENST00000574513,0.174752478,0.157102851,-0.06564828,-0.024095311,0.300280202
ENST00000301821,-0.131351928,-0.102515695,-0.058763373,-0.017074106,-0.109682214
ENST00000355968,0.181642817,0.151621138,0.229240585,0.400835472,-0.223961319
ENST00000504293,-0.082895643,-0.038579135,-0.094454562,-0.019406843,-0.229000986
ENST00000647841,-0.00931443,-0.2273511,-0.121552327,0.131419951,-0.115482472
ENST00000360526,0.145378275,0.198671825,-0.04370199,-0.046382504,0.245783344
ENST00000273223,-0.096593919,0.019942131,0.002946216,0.116593753,-0.108842338
ENST00000553110,0.046513236,-0.013203812,0.084538282,0.224425346,-0.085792046
ENST00000630979,0.006040993,-0.026491613,-0.033437832,0.015423141,-0.069121633
ENST00000296930,-0.014412921,-0.124171926,0.015841072,-0.020140203,-0.112589065
ENST00000335895,-0.015694937,-0.137356946,-0.076060942,-0.061392456,-0.159319442
ENST00000388968,0.147803796,0.095802665,-0.135728095,-0.019331851,0.174849678
ENST00000304921,0.048112053,0.034251011,-0.026977513,0.175224605,0.011706333
ENST00000271638,0.218442692,0.133576927,0.075345115,0.427837558,-0.073562318
ENST00000546500,0.428953681,0.223283439,-0.014830112,0.264582472,0.1941536
ENST00000234875,-0.029016315,0.10630487,0.04301944,-0.086619388,-0.089978966
ENST00000457341,0.224412464,-0.005088617,-0.117036845,0.316531986,-0.108733264
ENST00000418115,0.328554925,0.123169848,-0.106855815,0.144596735,0.22115511
ENST00000233156,0.049881362,-0.062995067,0.059995043,-0.205127933,-0.011313298
ENST00000289004,0.06821064,0.061380629,-0.090327918,-0.063221353,-0.064142916
ENST00000356674,0.045083397,0.022906481,-0.110147563,0.041895353,-0.101320725
ENST00000305354,-0.024775659,-0.089229229,0.028140606,-0.021376777,-0.186549858
ENST00000295958,0.272323695,0.137860404,0.175833584,0.026751866,-0.030872075
ENST00000234831,-0.103642636,-0.025445044,0.130451751,-0.091889883,-0.318797656
ENST00000530758,-0.127630825,0.008957307,0.097457455,0.058994161,-0.221628997
ENST00000479563,-0.008492958,-0.058891984,-0.215064212,0.225015476,-0.164382029
ENST00000304786,0.023986328,-0.068289891,-0.123691237,-0.087679147,0.091422827
ENST00000616082,0.030412598,0.05009131,0.005766504,0.102885983,-0.177785347
ENST00000353999,0.120903464,0.055637683,-0.204014487,0.155353403,0.22552286
ENST00000525451,0.224351349,0.245007125,0.033132357,0.399182496,-0.078305819
ENST00000303575,0.076674181,0.120749022,-0.041079748,-0.040057352,0.087827603
ENST00000359543,-0.103891041,-0.110685807,-0.024051153,-0.276199184,-0.127913036
ENST00000296417,-0.140067043,0.049632765,-0.293347315,0.243617849,0.019482644
ENST00000330899,-0.143799762,-0.159151842,-0.244934742,-0.009017424,-0.120251977
ENST00000338702,0.249708494,0.061895778,-0.022201982,-0.546558704,0.456027482
ENST00000317799,0.026125239,-0.079993426,-0.043549815,-0.393689524,0.189751729
ENST00000242577,-0.122362592,-0.13449034,-0.177329783,0.041738273,-0.117539448
ENST00000374050,-0.148125688,-0.140366906,-0.107225545,-0.030411512,-0.110044911
ENST00000228306,-0.069690548,0.040184473,-0.24235047,0.106479059,0.067714145
