Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000540040,-0.373463514,-0.238912908,-0.141915958,-0.351549429,-0.268262533
ENST00000247655,-0.327618479,-0.286574156,-0.031689393,-0.301283197,-0.145194144
ENST00000648006,-0.257010373,-0.236896627,0.004818455,-0.087645459,-0.249416853
ENST00000243997,-0.319150917,-0.255030747,-0.059414662,-0.211158254,-0.10850056
ENST00000253788,-0.304146046,-0.277860572,-0.046264199,-0.116497416,-0.291681528
ENST00000348108,-0.216104552,-0.16365407,-0.017403115,0.1084206,-0.307557905
ENST00000580261,-0.218249711,-0.21153694,-0.171934516,-0.001176191,-0.183624192
ENST00000393394,-0.35390581,-0.201110023,-0.204908073,-0.045610632,-0.177846831
ENST00000330964,-0.362049656,-0.347749759,-0.18473644,-0.163477425,-0.175802868
ENST00000648839,-0.235298117,-0.234601825,-0.140482055,-0.067197062,-0.189744936
ENST00000429711,-0.250084555,-0.214622845,-0.171593009,-0.102674983,-0.053715422
ENST00000343986,-0.254769158,-0.210234446,-0.124996336,-0.091239237,-0.099061317
ENST00000270142,-0.551557036,-0.296010109,-0.171888801,-0.295374793,-0.146981658
ENST00000644759,-0.176568618,-0.225446355,-0.136298912,-0.228287962,-0.039553023
ENST00000380872,-0.475675884,-0.396260263,-0.393172725,-0.131604762,-0.166039423
ENST00000407693,-0.392658399,-0.275675259,-0.152091312,-0.303773529,-0.154928955
ENST00000648437,-0.485905739,-0.496320551,-0.146705804,-0.497172382,-0.384385998
ENST00000625860,-0.506066786,-0.39994161,-0.24759763,-0.709717017,-0.153279756
ENST00000305046,-0.62705549,-0.256697704,-0.113847662,-0.883682749,-0.098890498
ENST00000304312,-0.381848082,-0.358681736,-0.040807916,-0.442962725,-0.111381442
ENST00000272298,-0.315816879,-0.343716115,-0.336530591,-0.077341574,-0.167085458
ENST00000261509,-0.304135074,-0.108338052,-0.03064383,-0.156947521,-0.25288354
ENST00000394349,-0.36358097,-0.392434073,-0.146660775,-0.293399966,-0.298039096
ENST00000326199,-0.470481387,-0.346679517,-0.27862641,-0.203673316,-0.387214119
ENST00000267884,-0.33644484,-0.310740677,-0.093284601,-0.152307647,-0.241835674
ENST00000302182,-0.361156594,-0.432509841,-0.196320095,-0.27606384,-0.15373841
ENST00000305786,-0.667309051,-0.374071608,-0.373840351,-0.456830567,-0.275629797
ENST00000301587,-0.296395217,-0.29254728,-0.191941654,-0.140064477,-0.170352382
ENST00000356464,-0.403482959,-0.361712347,-0.283113855,-0.190677293,-0.127084853
ENST00000434122,-0.409459638,-0.296173251,-0.044931045,-0.122080382,-0.349091579
ENST00000635699,-0.311967675,-0.64586521,-0.133658929,-0.113887783,-0.330904259
ENST00000556230,-0.239349587,-0.303888861,-0.161381754,-0.165379914,-0.103972343
ENST00000184266,-0.426171879,-0.301956543,-0.120190651,-0.238286877,-0.149326832
ENST00000650309,-0.413463451,-0.415869926,-0.019171733,-0.255071353,-0.282065105
ENST00000633731,-0.369359463,-0.297371877,-0.101999529,-0.410382739,-0.015550982
ENST00000375549,-0.33644484,-0.36631923,-0.11593872,-0.3784184,-0.0466522
ENST00000502534,-0.324156052,-0.325460786,-0.213702173,-0.158466796,-0.125073121
ENST00000355938,-0.453484261,-0.493568729,-0.294759912,-0.324017063,-0.17732523
ENST00000409906,-0.411280073,-0.330237329,-0.224262248,-0.059659488,-0.336664077
ENST00000338970,-0.157346294,-0.209158405,-0.111103377,-0.214144806,-0.075371535
ENST00000246554,-0.54529073,-0.347972025,-0.205616591,-0.428008771,-0.192888759
ENST00000647248,-0.280450593,-0.216253391,-0.09578923,-0.184460763,-0.144546729
ENST00000361227,-0.417283117,-0.184688938,0.042300485,-0.296805819,-0.486864711
ENST00000358290,-0.427592728,-0.415370287,-0.188247171,-0.549133149,-0.308266989
ENST00000497965,-0.481393176,-0.651480377,-0.274341416,-0.124754517,-0.38945221
ENST00000353107,-0.37226102,-0.287714529,0.088482888,-0.290839497,-0.30807125
ENST00000372967,-0.213701776,-0.194409002,-0.207623277,-0.063221353,-0.022722989
ENST00000548577,-0.17856518,-0.190800212,-0.121552327,-0.098817727,-0.076909059
ENST00000371514,-0.303740675,-0.337342286,-0.226185868,-0.434857176,0.013777683
ENST00000360830,-0.131416038,-0.317661871,-0.029220446,-0.250931623,-0.251966148
ENST00000381344,-0.497696967,-0.385178257,-0.45497606,-0.191401443,-0.025888455
ENST00000613865,-0.342025873,-0.292959565,-0.331005692,-0.079066879,-0.118860086
ENST00000228825,-0.20489436,-0.317498217,-0.114531899,0.102655979,-0.236726523
ENST00000342669,-0.225413528,-0.213035431,-0.160546458,-0.141337401,-0.255294714
ENST00000272348,-0.238374576,-0.24389001,-0.311758359,0.064224244,-0.070484756
ENST00000270586,-0.25362304,-0.248361568,-0.089186801,-0.041932717,-0.154759498
ENST00000336098,-0.38050002,-0.191693799,-0.204908073,0.001860691,-0.223317347
ENST00000302746,-0.446944382,-0.30764686,-0.303159133,-0.158385295,0.024686582
ENST00000380377,-0.263670235,-0.142532972,-0.113774976,-0.141562804,-0.081994792
ENST00000378720,-0.294421625,-0.478032566,-0.242567727,-0.080432186,-0.082261053
ENST00000375259,-0.073410434,-0.635085939,-0.055209832,-0.00611002,-0.260583042
ENST00000328848,-0.25927698,-0.407679462,-0.035931901,-0.193437523,-0.260245474
ENST00000422285,-0.352976564,-0.153285458,-0.142353645,-0.25846978,-0.167679923
ENST00000265304,-0.505398003,-0.16697972,-0.047854229,-0.115709377,-0.309752517
ENST00000374980,-0.200576954,-0.312556231,-0.164132115,-0.202910728,-0.180414172
ENST00000361611,-0.213701776,-0.06355013,-0.108613271,-0.119194991,-0.085307526
ENST00000367089,-0.294134035,-0.412014442,-0.018458834,-0.025218843,-0.308813568
ENST00000222381,-0.537463611,-0.204800892,-0.128747828,-0.243311127,-0.127499004
ENST00000377615,-0.306858044,-0.250990123,-0.162509001,-0.107551445,-0.192349321
ENST00000373586,-0.098356792,-0.301532833,-0.204693562,-0.046144682,-0.165640868
ENST00000367048,-0.558837262,-0.334613908,-0.384586732,-0.324063325,-0.006207426
ENST00000373337,-0.34148043,-0.269492844,-0.086786908,-0.26729363,-0.238944349
ENST00000546591,-0.161501764,-0.496263706,-0.300301178,-0.160378426,-0.163280079
ENST00000259254,-0.501351767,-0.378427215,-0.197818221,-0.552695849,-0.17384932
ENST00000264027,-0.444277497,-0.237124359,-0.233060642,-0.711421324,0.163218543
ENST00000372945,-0.186868484,-0.275235361,-0.06995113,-0.013146011,-0.355634424
ENST00000246337,-0.113805022,-0.368949796,-0.191941654,0.138857083,-0.21361542
ENST00000550487,-0.441480311,-0.347124912,-0.249307874,-0.322899392,-0.113977864
ENST00000531120,-0.297877184,-0.341828182,-0.414748703,-0.153465813,-0.08931581
ENST00000305231,-0.610367562,-0.492767565,-0.608667504,-0.157669139,-0.107293551
ENST00000270560,-0.483549134,-0.215253256,0.025289062,-0.280032742,-0.318797656
ENST00000343150,-0.147023663,-0.381714402,-0.147547535,-0.549639802,-0.028120495
ENST00000368733,-0.387468843,-0.3379693,-0.117226401,-0.386675302,-0.218395759
ENST00000295830,-0.234312055,-0.432433984,-0.262525954,0.080829617,-0.194350285
ENST00000283871,-0.247635573,-0.1353051,-0.242233809,-0.294679518,0.045255914
ENST00000463836,-0.465727857,-0.488682833,-0.387337343,-0.046442114,-0.41833333
ENST00000344843,-0.342345442,-0.639361746,-0.240851255,-0.388967114,-0.332603456
ENST00000268220,-0.281997056,-0.295708188,-0.140168005,-0.223158221,-0.088500037
ENST00000392541,-0.3572034,-0.31478893,-0.19049968,-0.218413624,-0.067836083
ENST00000646539,0.676041404,0.470675182,0.1913573,0.117287763,0.13298039
ENST00000368708,0.334746892,0.260518708,0.013470005,0.407115198,-0.320096796
ENST00000339647,0.452709492,0.22181055,-0.121552327,0.027395783,0.104588424
ENST00000449283,0.464295704,0.348075375,-0.006075109,0.418143924,-0.091970264
ENST00000394936,0.276637725,0.074118838,-0.18937914,-0.292619996,0.086589673
ENST00000371646,0.324868547,0.075459124,-0.20770897,0.061997993,-0.015811125
ENST00000341049,0.482267942,0.196251766,-0.110475919,-0.125946334,0.113852856
ENST00000538183,0.735008291,0.495809506,-0.110010705,0.059173344,0.339585914
ENST00000435618,0.690302703,0.571269452,0.173391327,0.168040671,0.077684024
ENST00000340717,0.427268297,0.417560037,-0.120016728,0.093021277,0.188845023
ENST00000299767,0.335702231,0.170377976,-0.227861229,0.18373159,-0.063668448
ENST00000642928,0.312558087,0.311516463,0.000220836,0.079903079,0.015621383
ENST00000550697,0.756894567,0.451212029,0.138616746,0.296159549,-0.077393266
ENST00000263464,0.824867031,0.582823852,0.28783861,0.1685529,-0.080392917
ENST00000393467,0.416812877,0.099319597,-0.037526027,0.018772795,-0.049739463
ENST00000324460,0.553716561,0.328677816,-0.181852837,0.282124459,-0.096405235
ENST00000538502,0.190619277,0.152371301,0.083813993,-0.071007545,-0.291185425
ENST00000341423,0.334810757,0.180502655,-0.19928363,0.207389974,0.11443296
ENST00000624041,0.222664233,0.037412832,-0.198977298,-0.114762745,-0.081994792
ENST00000542285,0.540698412,0.46512881,-0.006075109,0.386379572,-0.038689737
ENST00000322723,0.339064551,0.328929395,-0.100793766,0.150601612,-0.22344978
ENST00000310786,0.513766487,0.343457997,-0.034272001,-0.242449559,0.034434559
ENST00000316423,0.502764988,0.053315211,-0.157499023,0.147930059,0.210226673
ENST00000394934,0.765165162,0.683613401,-0.031040034,0.201614921,0.206117461
ENST00000409600,0.608693225,0.354352423,-0.024411168,0.120742444,0.122907793
ENST00000367816,0.199661494,0.065198203,-0.061357545,-0.192976008,-0.374080092
ENST00000359856,0.235972407,0.187117831,-0.275175516,0.084192374,-0.068571027
ENST00000264258,0.182526796,0.273276446,-0.025692311,0.248786681,-0.076096253
ENST00000352861,0.142567147,0.195919016,0.099046813,-0.02940664,-0.221773202
ENST00000304414,0.203663425,0.338548313,-0.384586732,-0.045977403,0.240169636
ENST00000528163,0.638762698,-0.052093941,-0.007093602,0.371168599,0.00048086
ENST00000554455,0.137486348,0.2797324,-0.166781581,0.013442777,-0.203320439
ENST00000248437,0.63043309,0.416981502,-0.153361065,0.6795704,0.119644447
ENST00000295688,0.224538798,0.024112244,-0.121552327,-0.156815726,-0.136594325
ENST00000272102,0.098275025,0.285739829,-0.076037667,0.025662326,-0.148872655
ENST00000457879,0.468643475,0.594944416,0.147634306,0.231636988,-0.065041064
ENST00000361441,0.384018831,0.143760876,-0.0442872,-0.102910128,-0.005298183
ENST00000393155,0.622155044,0.901153397,0.271898311,0.486494676,-0.131519088
ENST00000262033,0.352806864,0.240945002,-0.135907619,0.096179606,-0.131519088
